Freq.	I(R1)
7.20000000000000e+03	(-4.31796006504530e+01dB,-9.35257210376075e+01°)
7.31137674551818e+03	(-4.25192418052885e+01dB,-9.38046173018160e+01°)
7.42447637707000e+03	(-4.18069895713086e+01dB,-9.41302903922837e+01°)
7.53932554596648e+03	(-4.10336615536574e+01dB,-9.45156521395403e+01°)
7.65595131578756e+03	(-4.01874559646852e+01dB,-9.49788353827953e+01°)
7.77438116875951e+03	(-3.92528600857702e+01dB,-9.55461202546913e+01°)
7.89464301223093e+03	(-3.82089312912596e+01dB,-9.62570680149251e+01°)
8.01676518524900e+03	(-3.70264697534888e+01dB,-9.71740725932891e+01°)
8.14077646523740e+03	(-3.56631220228389e+01dB,-9.84014683220240e+01°)
8.26670607477755e+03	(-3.40543669348127e+01dB,-1.00127431658397e+02°)
8.39458368849478e+03	(-3.20957217174164e+01dB,-1.02727567185780e+02°)
8.52443944005097e+03	(-2.96052756126454e+01dB,-1.07065965835661e+02°)
8.65630392924536e+03	(-2.62488097962715e+01dB,-1.15588675491831e+02°)
8.79020822922531e+03	(-2.16177092668696e+01dB,-1.37401530311224e+02°)
8.92618389380839e+03	(-1.92178895861760e+01dB,1.66017277186805e+02°)
9.06426296491799e+03	(-2.37415830150383e+01dB,1.25200349684200e+02°)
9.20447798013376e+03	(-2.78157911853484e+01dB,1.11137862031967e+02°)
9.34686198035890e+03	(-3.07485136453393e+01dB,1.04908711082770e+02°)
9.49144851760612e+03	(-3.29825276153681e+01dB,1.01474517578639e+02°)
9.63827166290394e+03	(-3.47755167705335e+01dB,9.93130531090120e+01°)
9.78736601432537e+03	(-3.62697888127217e+01dB,9.78310032864425e+01°)
9.93876670514076e+03	(-3.75497183974449e+01dB,9.67526431391919e+01°)
1.00925094120967e+04	(-3.86688688969843e+01dB,9.59331710927148e+01°)
1.02000000000000e+04	(-3.93667665190474e+01dB,9.54736413664051e+01°)
